,id,display name,description,verified,potentially_banned,#followers,#posts,#friends,#favourites,location
CheriB2022,1547426313748639744,CheriB🐻🇷🇺❤️✝️🚛👨‍🌾,Go Wolverines  - Anti-Imperialist - new account - against tyranny and WEF - I support the working class,False,False,1701.0,16714.0,2468.0,44594.0,"Phoenix, AZ"
edmondkreuk,2283966799,Edmond Kreuk,"Dutch but living in France. Always an opinion, but it's mine, so...",False,False,221.0,49222.0,290.0,2983.0,Nederland 
dc__guy,871504250014224389,my_name 🌻,🇺🇸 🪬,False,False,57.0,1651.0,405.0,8510.0,
Igor_from_Kyiv_,1505972689286180873,Igor Kyivskyi,Be human. It is the most precious than all crowns and more important than all thrones.,False,False,868.0,8136.0,271.0,3008.0,Украина
Michazemanski,1534243772049068033,Michał Zemański,Risky one. Love 🇺🇦  🇹🇼,False,False,6.0,1608.0,65.0,3000.0,
vcdgf555,1100266332283559936,Evergreen Intel,"#OSINT consultant
Planes/ships/mil
ADSB/AIS/IMINT
Like/retweet≠agree
She/her
Cited by @thewarzonewire @TheAviationist
@PopMech @11thHour @AirForceTimes @UN @BBC",False,False,124620.0,37868.0,563.0,36509.0,The other Washington
olex_scherba,163018653,olexander scherba🇺🇦,26 years in 🇺🇦 diplomatic service. Ukraine’s Ambassador to Austria (2014-2021). Author of “Undiplomatic Thoughts” (2021). Currently NAK Naftogaz.,True,False,269749.0,30286.0,1038.0,16713.0,Kyiv
metoffice,19282280,Met Office,Official UK Met Office account. Here 24/7/365. Stay #WeatherAware follow @metofficeUK for warnings. Get the weather in hand with our app: linktr.ee/MOContent,True,False,915161.0,202814.0,659.0,22057.0,Exeter
drinami,11328252,稲見昌彦🌓INAMI Masahiko,東京大学 総長特任補佐・教授．先端研/システム情報/計数工学/先端表現/VRセンター 慶應義塾大学客員教授/超人スポーツ協会代表理事/JST ERATO稲見自在化身体PJ研究総括/IPA未踏PM/情報処理学会理事・フェロー/VR学会理事・フェロー・IVRC実行委員長/学術会議連携会員/工学アカデミー会員,True,False,27898.0,69666.0,9410.0,96443.0,
DAlperovitch,314587185,Dmitri Alperovitch,"Focus: Geopolitics, National Security, Great Power Competition, Cybersecurity. 
Chairman @SilveradoPolicy; Founder @alperovitch; Co-Founder @CrowdStrike",True,False,185570.0,4806.0,1848.0,17499.0,USA
terrelljstarr,58945187,Terrell Jermaine Starr 🇺🇦,"Host, #BlackDiplomats Podcast | @ACEurasia @AtlanticCouncil | Слава Україні! 🇺🇦 🌻| #ArmUkraineNow| Media requests: press@atlanticcouncil.org",True,False,343825.0,7677.0,1136.0,53393.0,"Brooklyn, NY ✈️ Kyiv, Ukraine"
HowsMyDrivingNY,976593574732222465,How's My Driving NY,"I look up traffic violations from @NYCDoITT's #opendata.

I'm a bot, but for non-plate inquiries, please contact @bdhowald.

github.com/bdhowald/hows_…",False,False,6417.0,152020.0,9.0,24333.0,"New York, NY"
JRewinski,1039765352912220160,Jonasz Rewiński,News presenter at @TVPWorld_com - Join us at #TVPWorld for latest news from CEE region // #UkraineWillWin 🇵🇱🤝🇺🇦,False,False,2418.0,7399.0,625.0,34584.0,"Warszawa, Polska"
ruinwanderer,901324398006853633,stardust collector,#NAFO will be more powerful than NATO,False,False,445.0,10028.0,175.0,31297.0,"Langley, Virginia"
umichvoter,1271568481012588547,umichvoter 🏳️‍🌈,22. Politics and Elections. MD in progress 👨‍⚕️🩺,False,False,29360.0,56847.0,1157.0,49001.0,
aniledodie,1280787080189280257,Aniledodie@yahoo.com,,False,False,180.0,28285.0,127.0,42644.0,
tramowl,3015001894,Neil Swan 🏴󠁧󠁢󠁳󠁣󠁴󠁿 🇮🇪,"Never knowingly left a dead horse unflogged.       
                             Cogito, ergo",False,False,1162.0,34543.0,2075.0,60788.0,Tramworld
archivist_kyoto,93462444,"FUKUSIMA,Yukihiro","archives／デジタルアーカイブ／MLA／歴史学
慶應義塾大学文学部准教授（有期）／東京大学大学院情報学環客員准教授
如何なる組織の見解も代表していないこと、RTが賛意を表している訳ではないこと、両点申し添えます
researchmap.jp/fukusima-y",False,False,4066.0,115303.0,1697.0,18175.0,東京/大阪/京都
AdamBienkov,14476016,Adam Bienkov,Political Editor and Correspondent @BylineTimes. Subscribe to my newsletter @FoldedNews adambienkov.substack.com. DMs open. Stories: adam@bylinetimes.com,True,False,117743.0,68637.0,5012.0,12726.0,House of Commons Press Gallery
GulyaAlmambet,760422791292354560,Гуля Алмамбетова,наша надежда на дзаньшин💙💛 трабл-шутер,False,False,8557.0,72317.0,1141.0,86798.0,
drewsnx,19589633,Drew White,"Personal feed. Tweets about transport, coding, tech-art, music.

♥ Considerate, decent road users 🚗🚲🚛 - puzzled by the rest

Work+creative tweets @Qsonics",False,False,2472.0,87632.0,3763.0,54242.0,Near a 🎙 @ LDN W4🇬🇧/ SP🇧🇷
ReginaMourad,898641100520534016,Regina,Author of Dragon Games-Buried Treasure- The Hermitage Effect - and Buried Treasure 2,False,False,1003.0,40595.0,83.0,17296.0,Massachusetts 
12WillPower,244690266,Will Power,"NTT IndyCar Series Driver. 2018 Indianapolis 500 Champion and 2014 INDYCAR Series Champion. Driver of the No. 12 @Verizon @Team_Penske @TeamChevy

🇦🇺🇺🇸",True,False,122179.0,6821.0,386.0,2390.0,North Carolina
Saltana_A,1068128605,Салтана,Musician,False,False,3034.0,20086.0,744.0,55528.0,
Claire_Myfanwy,480775261,It's Not All About ME,"✝️ Doctor (MB.BCh 1994) in lockdown since 2010 due to illness #pwME #severeME #fobw 
Retweet/Like does not imply endorsement.",False,False,378.0,39807.0,1437.0,151956.0,Constant Isolation
daniel_taps,1350113108006727683,Taps n Taps Thapelo Daniel,"faith and prayer // tumelo and thapelo = a winning combo 🕯️🙏😊💚.

Coffee lover.. Soccer Fanatic... Love Deep House..💯 

Driven by the love of the game ⚽ 🙌",False,False,2499.0,16833.0,4913.0,35975.0,
tsikaBa_BapBapa,1502274342083780614,Цікава Варвара🇺🇦,"It's just me,myself & I,solo ride until I die, атеїстка,бот на зарплаті у ПП.росіянці мають здохнути всі. зєлібоби-вкраїнчики-малороси мають воювати асфальтом",False,False,242.0,7808.0,344.0,47836.0,49°50′33″ пн.ш.24°01′56″ сх.д.
Pharmspice,2842869222,JL🌻,I might gather and wear sunflowers but will bonk you if you come on my land. #WeAreNAFO #UkraineWillWin,False,False,474.0,4526.0,250.0,59225.0,USA
Ryskulbekov,266533036,Эркин Рыскулбеков,Кыргызстан жараны,False,False,12630.0,7768.0,290.0,13199.0,Бишкек
dyuzelchok,1057010151448895489,гю,,False,False,0.0,118.0,1.0,27.0,
ABackRowBastard,3021591471,A Back Row Bastard,,False,False,231.0,3451.0,867.0,14034.0,Chattanooga
vdBurgh,3320685334,Maris vd Burgh,Author. Chairwoman SP De Bilt. Volonteer. Advisor & researcher Mental Health.  Україна перемога 🌻 ❤️ #NAFO #Fella DM's only on MY request.,False,False,824.0,11079.0,1088.0,38393.0,The Netherlands
tanquiro,1149407085798576128,dalle,,False,False,29.0,1654.0,165.0,213.0,
AFP,380648579,AFP News Agency,Top news and features from AFP's reporters around the world. Elsewhere on Twitter: u.afp.com/AFPTwitter,True,False,2376387.0,308502.0,609.0,2514.0,France
FightFireEcoSoc,1539782041813893120,Fight Fire - Ecosocialist Magazine,"Ecosocialist magazine, fight for climate justice, spark a revolution",False,False,255.0,47.0,574.0,45.0,
RashaAlAqeedi,3060905108,Rasha Al Aqeedi,"Made in Mosul,Ninewa. 🇮🇶. ME Deputy Editor @newlinesmag; I turn thoughts into articles; Send me submissions on ralaqeedi@newlinesmag.com",True,False,100307.0,89913.0,2154.0,66273.0,Northern Virginia
Tumi38484898,1427560011975335938,Tumisho,No Bio,False,False,319.0,2097.0,804.0,2435.0,Kempton Park 
rynkrynk,284998848,Oleksandra Povoroznyk 🇺🇦,I used to be a film critic at @Vertigo_com_ua and a translator of food-related stuff. Then Russia invaded my homeland. @NaUKMA alumna.,False,False,15555.0,17179.0,517.0,82180.0,Kyiv
GossiTheDog,19767495,Kevin Beaumont,"cybersecurity pleb 🐿 my tweets are severely limited by my lack of understanding of what I am doing, and they represent your views. My tweets are TLP:RED.",True,False,143845.0,86279.0,1002.0,2971.0,
berlin_bridge,3899254043,Jessica Berlin,"Foreign policy, civic action | Home in 🇩🇪 Past lives in 🇦🇫🇨🇳🇲🇲🇷🇼🇬🇧🇺🇸 | Visiting Fellow @GMFUS | Don’t just get mad, get busy",False,False,35265.0,992.0,663.0,2728.0,"Berlin, Germany"
Dianexis,24494957,𝕃𝕆ℝ𝔻 𝔻𝕀𝔸ℕ𝔼𝕏𝕀𝕊 👑,"The Louis Vuitton Lord of Las Vegas, owner of 2021's meme rifle of year, 3D printer, mag dealer, lover of fine whiskeys, and Pop-Tarts.",False,False,10421.0,68466.0,1203.0,231331.0,"Hueco Mundo, NV"
DLaneBreckenri1,1345168796915531777,Lane Breckenridge,Aerospace Engineer,False,False,161.0,9795.0,327.0,39797.0,
Yves_Leser,1500955610912804868,Yves Steiner,Sportbegeistert | Fahrrad | Aktuelles Weltgeschehen | Realist | Kinder | Synth | Technik | Physik,False,False,47.0,1204.0,136.0,43043.0,Zürich
angelainNL,594715073,Angela C.,«Tienti i sogni: i saggi non ne hanno di così belli come i pazzi!» (Charles Baudelaire),False,False,693.0,12010.0,753.0,49976.0,
WJBMass,903641881,Will,SLAVA UKRAINI!СЛАВА УКРАЇНІ!🇺🇦 #NAFO #FELLAS 🇬🇧 Not MI5/6. #visabanforussians #Russiantradeembargo #deportruscists #russiaisaterroriststate,False,False,1692.0,84776.0,4821.0,94502.0,"London, England"
LoxsM8,4817965821,David Janssen,"🇳🇱

MV33, SP11, FA14.
Red Bull.
Nederland is geen Nederland meer.",False,False,283.0,1995.0,238.0,4554.0,"Nederland, TX"
AttardMon,310703618,Monica,"Former ABC Russia correspondent. Author, OAM & 5 Walkley Awards. Co-Director, Centre for Media Transition, UTS Monica.attard@uts.edu.au",True,False,24140.0,35283.0,5466.0,40578.0,"Sydney, Australia"
AumullerPeggy,1554365822285451265,Peggy A 🇨🇦 Fella in training.,"🇨🇦 in support of 🇺🇦. #fella ""Patience: What you have when there are too many witnesses.""",False,False,478.0,147.0,906.0,3518.0,British Columbia/Alberta
jonburkeUK,555851927,Jon Burke FRSA 🌍,"Energy ⚡️ Waste ♻️ Transport 🚲 Public Realm 🌳 

Words in HuffPost, Tribune, Big Issue, Architects' Journal.

Chartered Environmentalist

Personal account.",False,False,27224.0,115566.0,1999.0,37065.0,United Kingdom
juneswords19,1498712488279433217,June🌻Swords,Need 2 get my 5K+ followers back. #FBR #Resist #ебатьПутин  Sick of GQP traitors. Vote Blue 2022-24. 💙🌊 💙💛,False,False,1451.0,2273.0,1436.0,20331.0,"New Jersey, USA"
kynohy,1147713493,Ky,,False,False,330.0,27654.0,9.0,74764.0,
JSharp1436,1509441149437685767,J.Sharp 🌍🇪🇺✊🇺🇦🇲🇩🇬🇪🌏🇦🇫🇲🇲🇭🇰🇹🇼,Strategic 🌍 Political/Military Analysis & IntPropDev. All content's available under a Creative Commons Attribution 4.0 International license unless otherwise📝,False,False,83.0,3169.0,617.0,5793.0,"Europe, The Commonwealth"
GAngrilli,390032884,G A B R I E L E ®️ 🇮🇹,Gli antifascisti li riconosci dai metodi fascisti...,False,False,6797.0,115076.0,2810.0,536942.0,"Roma, Lazio"
Kama_Kamilia,2966541849,Kama,"I'm from the government, and I'm here to help.",False,False,14556.0,35013.0,786.0,24861.0,"Langley, Virginia "
bneeditor,2608248157,BenAris,"long time Russia reporter. ex Daily Telegraph moscow bureau, ex Banker/Euromoney contributing editor, 15 yrs freelance. founder & editor business new europe",False,False,10337.0,60728.0,878.0,20315.0,"Berlin, Germany"
SaidInContext,1002986485988188163,(sic),Oh don’t mind me,False,False,35.0,2795.0,360.0,8991.0,
RealShuga7,875795816425902082,Shuga,DREAMER,False,False,27.0,177.0,71.0,417.0,"Brisbane, Queensland"
shilya13,290440190,Helen Titova,,False,False,3.0,114.0,10.0,157.0,
ukraine_world,873135988440223745,UkraineWorld,"Ukraine in English: news, analysis, podcasts, videos. Run by @InternewsUA. Support us: patreon.com/ukraineworld",True,False,219552.0,15498.0,1150.0,3267.0,Ukraine
DavidLarter,377419742,David B. Larter,"Navy vet. Tweets on Navy, space, watches, scotch, history & other random unserious musings. All opinions mine, not employer's. Formerly Defense News, Navy Times",True,False,32786.0,25882.0,3049.0,117832.0,Los Angeles
mpceddington,1846449398,"MP-not full MAGA, but semi-fascist anyway, JOE?",That's right. Who were you expecting?,False,False,308.0,18507.0,1124.0,13409.0,
Leonov_mr,1394325625,Artemy Leonov,"Продюсирую игры.
Ex-главред XYZ Media, ex-DTF
Tbilisi-based 🇬🇪 Eastern Europe expert.
Канал: t.me/unexpectedArte…",False,False,12898.0,12536.0,718.0,18298.0,Georgia
MattyMok,613932889,Sad about sports guy. (Pre COVID19),Alumnus of Auburn Univ & 9 yr MilVet. Texan living in S FL. Fan of Dallas pro teams and Auburn Sports. Jiu Jitsu practioner.,False,False,517.0,30180.0,2240.0,51042.0,"Fort Lauderdale, FL"
Sasha_Etkind,1196705929351303168,Alexander Etkind,"'Have no fear'. History, Rus&Global. Born in St Pete, Phd@Helsinki, tenure@Cambridge, teaching@EUI and moving to CEU. Opinions are mine but will be yours.",False,False,5973.0,3353.0,3202.0,12822.0,"Florence, Tuscany"
maggiewillrise,1549996408673079297,Maggie Richert,"I used to be a chef, and I was a journalist. Now I just write books from the war with @EngstrT. If you like my tweets, please donate to the @georgian_legion.",False,False,3556.0,8179.0,2031.0,21033.0,Free Kyiv
WhiteHouse,1323730225067339784,The White House,Welcome to the Biden-Harris White House! Tweets may be archived: whitehouse.gov/privacy,True,False,7658448.0,4082.0,5.0,0.0,United States of America
rushee88,106502037,!!!,Cenšos neiesaistīties kultūrkaros,False,False,350.0,30011.0,175.0,35680.0,"Riga, Latvia"
Rah_Sab,115313840,Rahat Sabyrbek,"Researcher, environment & economics, transition. Views are my own. Likes, RT are not endorsements. PhD in Economics, Google Scholar: bit.ly/3d4QSUu",False,False,2003.0,20297.0,2114.0,33603.0,Planet Earth
jdcmedlock,2363460824,James Medlock,"Social democrat in the streets, market socialist in the sheets. Welfare, labor, and healthcare policy. VATman. Support the California #BOFA package 🧦 🍞🧈🏗️",False,False,72587.0,54798.0,2171.0,152331.0,Northern California  |  He/Him
AlphaclassARC,1321077006,Snake ☭,"(Democratic) Socialist, member of SAP (Swe)⚘️. Agnostic Atheist with ADD and Autism; 24, male; aspiring Creative Director and politician.",False,False,435.0,22709.0,486.0,13265.0,Sweden
aClassicLiberal,103375095,Old Whig. 🇺🇲🇸🇪🇫🇮🇪🇪🇦🇹,"Contrarian curmudgeon (ENTP). Influenced by Sun Tzu, Da Vinci, Machiavelli, Darwin, Skinner, Burke, and Hayek.",False,False,8949.0,253168.0,5980.0,5119.0,Digital Nomad (Tampa Bay) 
wyndovelh,336201124,Lori Hamilton,"Lawyer, Concerned Citizen",False,False,1192.0,199183.0,1857.0,79950.0,"California, USA"
waxmonke,1337402796589584384,waxmonkey,borderline adequate,False,False,140.0,36883.0,284.0,17452.0,
publeecist,1109490557238300672,Пуб-Ли-Цист,,False,False,1792.0,31445.0,496.0,17580.0,
NLwartracker,1500841723647467521,NLwartracker,Tracking usage/capture/destruction of weapon systems in #Ukraine theater of operations. Sharing combat footage and more follow @nlwartracker to keep up-to-date!,False,False,17418.0,3946.0,214.0,5195.0,Nederland
jen_in_vegas,469687047,Jen 🤓,"Wife. Mother. Sister. Daughter.
Friend. Fighter. Survivor.
Advocate. ✊🌈♀️✌",False,False,1695.0,18522.0,1477.0,41633.0,"Las Vegas, NV"
darkwing72,122544125,.....,I'm only here for current events and the lolz..not to play twitter otherwise. #nafo,False,False,1126.0,5744.0,2391.0,26751.0,"York County, VA"
SchmidCathrine,902670504409960448,Cathrine Schmid,"Transgender US Army Soldier, real-life Paladin. My views are my own.

She/her/SFC",False,False,4042.0,6065.0,1108.0,41110.0,"Washington, USA"
Rocco__PR,430925761,Rocco Aloe,Father. Husband. Account Director @GregoryFCA. Former TV News Producer of 13+ years now loving life in PR. Amateur golfer. #NYR #USMNT,False,False,2111.0,19025.0,1505.0,36647.0,NYC/CT
campbellclaret,19644592,ALASTAIR CAMPBELL,"Writer, communicator, consultant, strategist, mental health campaigner. Does podcast The Rest is Politics with ex Tory minister Rory Stewart.",True,False,881678.0,91878.0,9377.0,17621.0,London
NicoColangelo,911935721979744256,Nico Colangelo,Avvocato penalista,False,False,935.0,30385.0,732.0,44371.0,Italia (Campania)
thepavel,10445102,pavel 🇺🇦,recovering full-stack engineer. immigrant. born and raised in Ukraine. refugee. wannabe musician. impostor. #RCTID. old music: @animalrr,False,False,616.0,55307.0,1295.0,54465.0,"Portland, OR"
DoironPaula,969257226,Paula,Here to connect with like minded people. I miss the Canada🇨🇦 I grew up in and hurt by what I thought would make life normal again. Love wins ❤️🏆,False,False,837.0,2366.0,1251.0,3371.0,
PutinMyBeauty,1491146255774490624,RW-GFY,"I am Vladimir Putin, the last (as in final, rather than most-recent) leader of Russia—I’m also the world grandmaster in zero-dimensional chess and war strategy",False,False,43.0,2521.0,133.0,9529.0,United States of Gilead
Dmojavensis,700420420655120384,D. mojavensis 🇺🇲 🇺🇦,Fictional character - explores the world through (sometimes dark) humor.,False,False,21.0,2041.0,432.0,1173.0,"Mojave desert, California"
DonaghOates,1441483476159639552,Donagh Oates 🆗️,"Sure it's only Twitter... its not real? @sligorovers fan, ballboy, player, back to fan.. @strandceltic underage coach and dad of 5, 🔴⚪️🟢⚪️⚽️",False,False,104.0,905.0,120.0,2579.0,
formerteamaker,1550220240499269633,Веган Папа,"Путь к сердцу мужчины лежит через его твиттер. 

PhD in Engineering, ex-Mossad.  #PutinWarCriminal",False,False,1073.0,2024.0,1324.0,8940.0,"Seattle, WA"
alex,7380362,alex,Journalist. @TechCrunchPlus EiC. Co-host: @EquityPod. No dms. I also write a little for myself. Introvert. NGMI. He/Him. #blacklivesmatter,True,False,99118.0,114558.0,4437.0,183553.0,Providence
PartijvdDieren,20710359,Partij voor de Dieren,Het is tijd voor Plan B - omdat er geen Planeet B is. Sluit je aan bij #groeiendverzet 🌍 word lid! pvdd.nl/word-lid,True,False,61756.0,27170.0,572.0,22158.0,Nederland
LindaFlanagan2,398873571,Linda Flanagan,"Take Back the Game: How Money and Mania Are Ruining Kids’ Sports, order: penguinrandomhouse.com/books/653840/t…",False,False,796.0,547.0,645.0,2374.0,"Summit, NJ "
Mikheeva_Elena_,467164764,Elena Mikheeva,"Мастер интересных твитов, сладкозвучных речей и краткого слога.",False,False,5629.0,63546.0,3066.0,71813.0,"Russia, Moscow"
LouiseMensch,19346439,Louise Mensch 🇺🇸🇺🇦,"""Unhinged British witch"" ""a textbook succubus""- Russian Insider. Reverse Cassandra on Russia's invasion of Ukraine",True,False,278076.0,99140.0,35761.0,372768.0,In Team Treason’s Head
NikaMelkozerova,1667415740,Nika Melkozerova,"@NewVoiceUkraine executive editor. An award-winning journalist. Bylines: NBC News, Vice, Politico, OCCRP, NYT, the Atlantic and others. views my own.",True,False,192948.0,12419.0,963.0,12568.0,Україна
AlMayadeenNews,594813423,قناة الميادين,"شبكة الميادين الإعلامية هي شبكة إعلامية عربية، تقوم على شعار الواقع كما 
هو وتلتزم به، لنقل الحقيقة والخبر والرأي.

الميادين في تلغرام👇
t.me/mayadeenchannel",True,False,1862380.0,263978.0,102.0,637.0,"Beirut, Lebanon"
DmitryOpines,595174584,Dmitry Grozoubinski,"Trade, Diplomacy and Politics. Founder ExplainTrade and Forever D&D DM. 🇺🇦 Born. 🇦🇺 Raised. 🇨🇭 Based. (He/Him)",False,False,81457.0,38698.0,1625.0,50159.0,
Boriz108,531528161,Boris❌Palmin🇺🇦,"Божий промысел людскими руками делается. God's providence is done by human hands.
Смелость это не отсутствие страха, а его преодоление!",False,False,1665.0,55739.0,2365.0,91780.0,Україна
realTCPL,1240756589495308290,Christpilled Liberty,"Hi I'm Andrew Strait.

I'll follow back till I can't no more. Give me Jesus and Liberty, or give me death. #NoKingButChrist ✝️🗽🇺🇲 #RailroadLife🚆🛤️",False,False,1304.0,37403.0,1490.0,85162.0,"Blacksburg, SC"
FaikMuratunel,175478325,Murat Unel,"Dış Ticaret Müdürü (Afrika Ülkeleri) - Youtube Yayıncısı - Müzisyen - Rocker
youtube.com/user/faikmurat…",False,False,386.0,7955.0,1527.0,27721.0,İzmir
Ziggydank,1510440385151127552,Zigster,"NATO psyop to make vatnik heads hurts, I bring the W’s home #DarkNATO",False,False,678.0,3788.0,330.0,6008.0,"Zealand, Denmark"
officejjsmart,888449203688677377,Jason Jay Smart,🇺🇦 News. ‘10 Russia & Belarus lifetime ban for working against Putin. ‘11 Uzbekistan ban. Special Correspondent @KyivPost. Джейсон Джей Смарт PhD 🇺🇸,True,False,16100.0,5252.0,594.0,13594.0,"Kyiv, Ukraine"
lrozen,47455112,Laura Rozen,"Reporting on Washington & foreign policy. Just Security ed board. Al-Monitor, Politico, Foreign Policy alum. RTs not endorsements. Email lkrozen at gmail",False,False,176464.0,505682.0,8546.0,196.0,"Washington, D.C."
WZantinge,44367307,Wouter Zantinge,Dad | Finance Strategy | Crisis and Change Management | Government,False,False,127.0,164.0,323.0,8436.0,Leiden-DC-Miami-Voorburg
DoctorDigital1,1216977415404228608,Цифровий Лікар,"Лікую зебілізм, малоросизм, хохлизм. 

Мій попередній акаунт  забанили. На майбутнє із довбойобами ніяких суперечок не вестиму — зразу в бан",False,False,190.0,29376.0,39.0,1995.0,
nrgJeff,449449773,🇺🇸 Jeff House 🇺🇦,"Tenn Met, Kansas grad. Storm chase, Chattanooga FC shares, KU/KC sports, TX energy, TN/GA/NC mountains, Southeast beaches, West skiing, Aurora and dark skies.",False,False,720.0,7336.0,1394.0,52785.0,"Chattanooga, TN"
riprv,1027305062996029440,RIPRV,"""Коли поміж хлібом і свободою народ обирає хліб, він зрештою втрачає все, в тому числі і хліб."" 
(с) Бандера",False,False,1284.0,123045.0,674.0,205339.0,Україна
JonathanWyke,167743137,Jonathan Wyke,"Citizen not subject.

jonathanwyke.deviantart.com",False,False,721.0,26019.0,1212.0,17788.0,Citizen of the World
TheStudyofWar,71298686,ISW,The Institute for the Study of War is a policy research organization focused on U.S. national security. | press@understandingwar.org,True,False,407844.0,17468.0,2655.0,2766.0,Washington D.C.
reveralife,435409414,SLAVA UKRAINI! 🇺🇸 Radical Leftist Maniac,"All Problems Have A Best Solution! Content Creator/Streamer problem solving, methodological critical thinking, politics. #TruthMatters #LoveMatters",False,False,379.0,19314.0,333.0,41426.0,"Santa Rosa, Ca"
Devindra,13171062,Devindra Hardawar,Immigrant. Tech/movie 🇬🇾 guy. @Engadget Editor. @thefilmcastpod co-host @atlfilmcritics member. He/Him. Signal: 347-788-1642 devindra@devindra.org,True,False,25420.0,21771.0,3332.0,193457.0,"ATL-ish, NYC at heart"
BBCr4today,8170292,BBC Radio 4 Today,"@BBCRadio4 flagship news programme, on air 6-9am weekdays and 7-9am on Saturday. Talk about the programme #R4Today",True,False,690622.0,62484.0,13151.0,1177.0,"London, UK"
michaeldweiss,18025377,Michael Weiss 🌻🇺🇸🇮🇪,"@yahoonews, @newlinesmag, @foreignoffpod. ISIS: Inside the Army of Terror: goo.gl/Jb6uEA. Next book is on the GRU @twelvebooks. macspaunday@protonmail.com",True,False,224778.0,21462.0,3921.0,2450.0,"New York, NY"
secretsqrl123,1520175957709045762,david D.,former ADA 16/14R / intel guy 96B with a P. runs one of texas largest semi private military museums.,False,False,680.0,7734.0,73.0,3925.0,texas
antoniettatril1,4527544881,antonietta,,False,False,3.0,85.0,24.0,704.0,
mgtruth,23519926,ruth allum,"Allum (nee Colville) I'm a 64yr old wife to Paul, and mother of 2 adult children. I play golf. Poorly, but sure, it gets me out of the house. Love walking.",False,False,2259.0,141599.0,2273.0,201504.0,belfast
mfa_russia,255471924,MFA Russia 🇷🇺,Ministry of Foreign Affairs of Russia 🇷🇺 (Official account) | Country's account @Russia | По-русски @MID_RF | Español @MAE_Rusia | Arabic - @russia_ar,True,False,556269.0,69073.0,1442.0,22459.0,Russia
pt,9571702,parker,I plead the first.,False,False,23793.0,43490.0,1982.0,82478.0,🇺🇸
sentinel_hub,2912566559,Sentinel Hub,"An award winning satellite imagery service, cloud data driver to Sentinel, Landsat and other imagery - sentinel-hub.com",False,False,35722.0,12401.0,493.0,17677.0,
Ayei_Eloheichem,2573619805,CasualtiesOfTheDay 🇺🇦,"Animalia, Chordata, Mammalia, Primates, Hominidae, Hominini, Homo, H. sapiens, Homo sapiens sapiens. 

Opinions are my own. And stupid.",False,False,7488.0,157782.0,4965.0,259006.0,
OWS1892,893052046701715456,Oli Stirling,"Mural artist & enemy of nostalgia.                 
#ProEU #Labour & #NUFC",False,False,4659.0,11784.0,5064.0,12417.0,"Blyth, England"
brianmichel,7821812,Brian Michel,Tube Maintainer @browsercompany. He/Him.,False,False,1843.0,25106.0,886.0,42728.0,"Queens, NY"
fenrrito,2926073861,Herbert O,,False,False,22.0,2694.0,32.0,4003.0,Canada
SirFingGrumpy,117751460,Craig Dennis,"""It can be very dangerous to see things from somebody else's point of view without the proper training."" Douglas Adams - The Hitchhikers Guide To The Galaxy",False,False,510.0,19926.0,1476.0,431.0,"Durban, South Africa"
UVAnthonyCSCS,330106055,Anthony,"Former Army Special Operations NCO, now wannabe pilot. 6 deployments in 7 years to AFG. UVA grad.",False,False,1933.0,18716.0,1278.0,56125.0,"Oklahoma City, OK"
goblin__soup,1171150960732844038,🇺🇸Goblin Borshch🇺🇦,HR goblin for NAFO | Shitposting for Ukraine | I only obey the wolves | Free Syria | She/Her | #wearenafo,False,False,2523.0,8228.0,577.0,34850.0,"Langley, Virginia"
shashj,17175213,Shashank Joshi,Defence Editor at @TheEconomist. Formerly @rusi_org. Interested in international politics & security. Signal number: +447732590563.,True,False,148619.0,33563.0,1811.0,29891.0,London
subutai831,1554216309533323264,Subutai83,Malorussian-Mongolian-Merya,False,False,37.0,464.0,67.0,4685.0,Novorussian Steppe
bahtaver,95394599,Çitleyen Nağmeler,"omnia fui, nihil expedit twitter.com/alperyigit/sta…",False,False,7961.0,231565.0,897.0,100354.0,Renkli Rüyalar Oteli
JayinKyiv,1537130875296563200,Jay in Kyiv,Jay,False,False,18355.0,5339.0,765.0,4292.0,Kyiv
RestIsPolitics,1493610230353211394,The Rest Is Politics,"Politics podcast with @campbellclaret + @RoryStewartUK 

The Rest Is Politics Plus: therestispolitics.com

linktr.ee/RestIsPolitics

restispolitics@gmail.com",False,False,92940.0,683.0,66.0,1327.0,London/Jordan
LibyaLiberty,254873869,Hend Amry,"I am East and West, citizen and refugee. The melting pot is a failed paradigm-maybe more like a tossed salad. I am an international crouton.",True,False,251874.0,256368.0,3417.0,105620.0,at the kitchen table
LlopisMarta95,1583034342,Marta Llopis 🚜🌻,ADE y DERECHO (UV). Opositora 📚🤓. 'Que gane el quiero la guerra del puedo' #26 #NAFOfella 🇺🇦,False,False,4021.0,61955.0,1430.0,13018.0,"Valencia, España"
Kaloh_nft,1391168874104696833,www.kaloh.xyz 🔮,Kaloh's Newsletter kaloh.xyz ✍️ | Curating the @BlindGallery_ 👁| #Tezos,False,False,15519.0,21246.0,5204.0,103014.0,metaverse
CovertShores,740989553960452096,H I Sutton,"Independent Defense Analysis, Submarines, #OSINT, illustrations. Author of Covert Shores books. Write for @USNINews, @navalnewscom and more

Mostly typos.",True,False,155295.0,21915.0,480.0,129576.0,
Teoyaomiquu,1500641372235309062,Constantine,"Ukrainian; DevOps engineer; Served in Russko-Ukrainian War(2014-2015)

Living in TX for the past four years",False,False,5670.0,3063.0,233.0,4250.0,Austin 
